,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
236,670454589,False,finalized,3,2/10/15 2:12,England,1.0,14-Mar-33,1.0,White,1.0,Na,1.0,Straight,1.0,2000,1.0,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,,,The Cider House Rules,Michael Caine,,,,
237,670454590,False,finalized,3,2/10/15 2:04,Puerto Rico,1.0,19-Feb-67,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,2001,1.0,Best Supporting Actor,http://www.nndb.com/people/087/000026009/,,,Traffic,Benicio Del Toro,,,,
238,670454591,False,finalized,3,2/10/15 2:05,England,1.0,24-May-49,1.0,White,1.0,Na,1.0,Straight,1.0,2002,1.0,Best Supporting Actor,http://www.nndb.com/people/092/000063900/,,,Iris,Jim Broadbent,,,,
244,670454597,False,finalized,3,2/10/15 3:50,Canary Islands,1.0,1-Mar-69,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,2008,1.0,Best Supporting Actor,http://www.nndb.com/people/733/000109406/,,,No Country for Old Men,Javier Bardem,,,,
245,670454598,False,finalized,3,2/10/15 1:59,Australia,1.0,4-Apr-79,1.0,White,1.0,Na,1.0,Straight,1.0,2009,1.0,Best Supporting Actor,http://www.nndb.com/people/204/000029117/,,,The Dark Knight,Heath Ledger,,,,
247,670454600,False,finalized,3,2/10/15 1:59,Wales,1.0,30-Jan-74,1.0,White,1.0,Na,1.0,Straight,1.0,2011,1.0,Best Supporting Actor,http://www.nndb.com/people/877/000031784/,,,The Fighter,Christian Bale,,,,
248,670454601,False,finalized,3,2/10/15 1:57,Canada,1.0,13-Dec-29,1.0,White,1.0,Na,1.0,Straight,1.0,2012,1.0,Best Supporting Actor,http://www.nndb.com/people/316/000023247/,,,Beginning,Christopher Plummer,,,,
252,670454605,False,finalized,3,2/10/15 1:51,Canada,1.0,8-Apr-1892,1.0,White,1.0,Na,1.0,Straight,1.0,1930,1.0,Best Actress,http://www.nndb.com/people/683/000042557/,,,Coquette,Mary Pickford,,,,
253,670454606,False,finalized,3,2/10/15 2:03,Canada,1.0,10-Aug-1902,1.0,White,1.0,Na,1.0,Straight,1.0,1930,1.0,Best Actress,http://www.nndb.com/people/813/000063624/,,,The Divorcee,Norma Shearer,,,,
254,670454607,False,finalized,3,2/10/15 2:05,Canada,1.0,2-Nov-1868,1.0,White,1.0,Na,1.0,Straight,1.0,1931,1.0,Best Actress,http://www.nndb.com/people/814/000063625/,,,Min and Bill,Marie Dressler,,,,
257,670454610,False,finalized,3,2/10/15 1:59,France,1.0,13-Sep-1903,1.0,White,1.0,Na,1.0,Straight,1.0,1935,1.0,Best Actress,http://www.nndb.com/people/935/000043806/,,,It Happened One Night,Claudette Colbert,,,,
259,670454612,False,finalized,3,2/10/15 2:11,Germany,1.0,12-Jan-10,1.0,White,1.0,Jewish,1.0,Straight,1.0,1937,1.0,Best Actress,http://www.nndb.com/people/796/000030706/,,,The Great Ziegfeld,Luise Rainer,,,,
260,670454613,False,finalized,3,2/10/15 3:58,Germany,1.0,12-Jan-10,1.0,White,1.0,Jewish,1.0,Straight,1.0,1938,1.0,Best Actress,http://www.nndb.com/people/796/000030706/,,,The Good Earth,Luise Rainer,,,,
262,670454615,False,finalized,3,2/10/15 2:29,India,1.0,5-Nov-13,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1940,1.0,Best Actress,http://www.nndb.com/people/470/000022404/,,,Gone with the Wind,Vivien Leigh,,,,
264,670454617,False,finalized,3,2/10/15 4:07,Japan,1.0,22-Oct-17,1.0,White,1.0,Na,1.0,Straight,1.0,1940,1.0,Best Actress,http://www.nndb.com/people/487/000026409/,,,Suspicion,Joan Fontaine,,,,
265,670454618,False,finalized,3,2/10/15 1:59,England,1.0,29-Sep-04,1.0,White,1.0,Na,1.0,Straight,1.0,1942,1.0,Best Actress,http://www.nndb.com/people/293/000044161/,,,Mrs. Miniver,Greer Garson,,,,
267,670454620,False,finalized,3,2/10/15 2:04,Sweden,1.0,29-Aug-15,1.0,White,1.0,Na,1.0,Straight,1.0,1945,1.0,Best Actress,http://www.nndb.com/people/836/000024764/,,,Gaslight,Ingrid Bergman,,,,
269,670454622,False,finalized,3,2/10/15 1:47,Japan,1.0,1-Jul-16,1.0,White,1.0,Na,1.0,Straight,1.0,1947,1.0,Best Actress,http://www.nndb.com/people/741/000022675/,,,To Each His Own,Olivia de Havilland,,,,
272,670454625,False,finalized,3,2/10/15 2:10,Japan,1.0,1-Jul-16,1.0,White,1.0,Na,1.0,Straight,1.0,1950,1.0,Best Actress,http://www.nndb.com/people/741/000022675/,,,The Heiress,Olivia de Havilland,,,,
